Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,age,Accepted_Cmp,duration,children,HighestPurchaseSource
Master,Single,92859.0,962,61,921,52,61,20,1,5,4,12,2,0,31,No,13.924709103353868,0,store
Master,Together,65104.0,738,0,232,13,20,50,2,3,5,7,7,0,47,Yes,12.854209445585216,1,store
College Graduate,Married,86111.0,399,28,756,36,40,126,1,5,7,10,2,0,61,No,13.426420260095824,0,store
PhD,Single,68352.0,614,16,132,43,33,33,3,8,5,9,6,0,49,No,13.067761806981519,1,store
College Graduate,Together,41883.0,32,34,41,73,16,116,3,4,2,3,7,0,35,No,13.51129363449692,1,web
College Graduate,Married,59809.0,598,16,141,32,41,49,3,3,3,6,8,0,47,No,13.927446954140999,2,store
College Graduate,Married,23957.0,2,1,18,20,11,16,1,2,0,3,6,0,48,Yes,13.900068446269678,1,store
College Graduate,Together,38547.0,6,1,10,0,1,4,1,1,0,2,8,1,42,No,13.067761806981519,1,store
Technical School,Married,35688.0,73,3,90,12,1,32,7,4,1,4,8,0,50,No,14.08350444900753,3,web
Master,Married,49605.0,42,16,29,12,20,8,1,2,1,4,3,0,57,No,12.254620123203285,0,store
Master,Married,59354.0,295,21,78,39,13,13,1,4,4,7,3,0,70,No,12.413415468856947,2,store
College Graduate,Married,65747.0,346,17,48,23,13,13,4,8,1,6,6,0,54,Yes,12.544832306639288,1,web
Technical School,Together,46344.0,233,20,57,8,20,91,4,7,1,5,7,0,51,No,13.77138945927447,1,web
College Graduate,Single,34176.0,5,7,24,19,14,20,4,3,0,4,6,0,35,No,12.36413415468857,1,store
PhD,Together,61010.0,888,0,57,0,0,76,2,8,5,11,5,0,71,No,13.952087611225188,1,store
College Graduate,Together,69372.0,997,26,269,34,13,42,1,10,4,6,4,0,74,Yes,13.587953456536619,0,web
College Graduate,Single,49967.0,212,6,69,4,12,3,3,6,1,5,7,0,65,No,13.207392197125257,1,web
College Graduate,Single,60199.0,8,1,7,2,0,0,1,0,0,3,4,0,45,No,13.026694045174539,3,store
College Graduate,Together,55375.0,42,11,57,10,28,14,1,1,1,6,2,0,46,No,12.930869267624914,1,store
College Graduate,Single,80317.0,536,11,387,149,91,57,1,3,4,10,1,0,68,No,13.089664613278575,0,store
Master,Single,30523.0,5,0,3,0,0,5,1,1,0,2,7,0,65,No,13.22655715263518,3,store
PhD,Married,70356.0,1349,16,249,43,16,33,2,10,6,9,6,0,78,No,13.878165639972622,0,web
College Graduate,Married,23228.0,53,3,49,7,4,5,4,3,0,4,8,0,39,No,12.711841204654347,1,store
PhD,Divorced,74165.0,1001,12,240,16,12,12,1,5,4,10,2,0,48,No,13.39356605065024,0,store
PhD,Married,157243.0,20,2,1582,1,2,1,15,0,22,0,0,0,50,No,12.56125941136208,1,catalog
College Graduate,Together,43482.0,18,1,32,6,3,28,3,2,0,4,6,0,57,No,12.856947296372347,3,store
College Graduate,Divorced,62551.0,125,16,98,134,21,27,1,6,7,4,3,0,70,Yes,12.843258042436688,0,catalog
College Graduate,Divorced,52332.0,212,5,33,7,0,2,1,3,2,6,4,0,64,Yes,13.067761806981519,0,store
College Graduate,Single,66951.0,277,162,305,173,76,124,1,3,4,7,1,0,35,No,12.8870636550308,0,store
College Graduate,Together,26091.0,15,10,19,8,17,20,3,2,1,3,5,0,66,No,12.572210814510608,2,store
College Graduate,Together,33456.0,7,3,10,8,1,7,2,1,0,3,7,0,58,No,12.421629021218344,2,store
College Graduate,Married,28718.0,12,4,6,11,8,16,2,2,0,3,8,0,41,No,13.193702943189596,1,store
College Graduate,Married,50447.0,85,7,24,2,3,27,1,3,1,3,6,0,53,No,12.421629021218344,2,web
PhD,Together,53537.0,81,0,6,0,0,6,2,2,1,3,5,0,64,No,12.643394934976044,2,store
College Graduate,Single,52074.0,59,0,12,0,0,48,1,2,2,2,4,0,56,Yes,12.46817248459959,1,web
PhD,Married,80427.0,1149,71,449,69,71,26,1,11,8,8,5,0,48,No,14.026009582477755,1,web
PhD,Married,83837.0,847,66,119,86,89,111,1,9,10,5,4,0,75,Yes,13.765913757700206,0,catalog
PhD,Married,38853.0,29,0,14,0,0,2,2,2,0,3,7,0,53,No,12.334017796030116,2,store
College Graduate,Together,38285.0,2,0,5,2,0,1,1,0,0,3,2,0,64,No,12.24640657084189,3,store
Technical School,Married,78497.0,207,26,447,75,0,223,1,5,7,12,2,0,72,Yes,12.80766598220397,0,store
PhD,Married,51650.0,152,3,22,2,5,7,1,4,1,4,5,0,47,No,12.366872005475702,1,web
Technical School,Married,16248.0,12,11,10,3,12,9,3,2,1,3,6,0,35,No,12.369609856262834,1,store
Master,Married,66835.0,620,26,195,34,17,141,1,6,4,13,2,0,77,No,12.982888432580424,0,store
Master,Married,30477.0,47,1,6,0,0,12,1,1,1,3,6,0,39,No,12.6652977412731,1,store
High School,Married,28249.0,1,9,7,2,14,10,1,2,0,3,6,0,62,No,12.271047227926077,0,store
College Graduate,Married,25271.0,10,1,18,10,4,7,1,1,1,2,9,0,40,No,13.796030116358658,1,store
PhD,Single,32303.0,35,0,2,0,0,2,2,1,0,4,5,0,53,No,12.542094455852157,1,store
College Graduate,Married,61286.0,356,0,107,19,9,117,2,7,1,8,5,0,57,No,13.138945927446954,1,store
College Graduate,Married,74068.0,783,30,537,140,76,15,1,4,10,9,2,0,47,No,13.51129363449692,0,catalog
PhD,Married,45759.0,42,1,18,3,0,4,2,2,0,3,7,0,59,No,13.57700205338809,2,store
High School,Together,24882.0,1,4,10,29,0,36,1,1,1,2,6,0,45,Yes,14.03422313483915,1,store
PhD,Together,66973.0,466,22,432,147,113,102,1,8,7,12,3,0,34,No,13.349760438056126,0,store
College Graduate,Married,38872.0,23,3,21,3,19,22,2,3,0,3,8,0,35,No,13.314168377823409,1,web
College Graduate,Married,51148.0,235,6,45,8,9,12,4,5,1,6,6,0,50,No,13.59069130732375,2,store
College Graduate,Married,31353.0,10,0,10,3,1,7,2,1,1,2,8,0,46,No,12.731006160164272,2,store
Master,Married,69661.0,656,16,106,32,16,8,1,7,3,12,3,0,43,No,12.361396303901437,0,store
College Graduate,Married,80067.0,519,17,813,27,173,51,1,4,6,6,2,0,69,Yes,13.007529089664613,0,catalog
College Graduate,Married,86718.0,344,189,482,50,33,172,1,5,6,5,2,0,69,No,13.678302532511978,0,catalog
PhD,Single,46854.0,96,1,79,7,1,79,6,5,1,3,8,0,50,Yes,12.479123887748118,2,web
College Graduate,Divorced,69142.0,448,4,34,6,4,39,3,8,1,7,5,0,71,Yes,12.232717316906228,1,web
College Graduate,Single,75922.0,265,138,553,224,23,92,1,4,4,9,1,0,55,No,12.785763175906913,0,store
College Graduate,Divorced,63693.0,587,43,337,42,87,54,3,11,6,9,6,0,45,No,12.93908281998631,1,web
PhD,Together,102160.0,763,29,138,76,176,58,0,7,9,10,4,0,46,Yes,13.886379192334017,0,store
PhD,Single,40637.0,22,0,13,0,0,3,2,1,0,3,7,0,58,No,13.182751540041068,2,store
Master,Single,18890.0,6,4,1,7,2,15,1,0,1,2,6,0,39,Yes,13.86447638603696,0,store
College Graduate,Together,29604.0,7,6,13,7,6,14,1,1,0,3,9,0,35,Yes,12.788501026694044,1,store
Master,Divorced,48721.0,81,18,113,47,13,21,6,4,2,5,6,0,60,No,13.360711841204655,2,store
College Graduate,Married,44794.0,54,0,7,0,0,4,1,2,0,3,6,0,57,No,12.290212183436003,1,store
College Graduate,Divorced,64497.0,1170,48,320,42,32,192,5,11,4,9,8,0,69,Yes,14.03148528405202,1,web
College Graduate,Together,46097.0,72,24,68,65,4,8,5,3,1,6,4,0,67,No,13.478439425051334,1,store
College Graduate,Together,77972.0,613,22,319,33,102,12,1,4,6,9,1,0,69,No,12.514715947980836,0,store
PhD,Married,44377.0,224,0,30,0,0,10,8,5,1,5,8,0,55,No,13.963039014373717,2,web
Master,Together,46014.0,410,0,59,19,9,44,10,7,1,8,7,0,49,No,13.66735112936345,2,store
College Graduate,Married,70951.0,239,10,554,254,87,54,1,3,4,9,1,0,38,No,13.385352498288844,0,store
College Graduate,Married,41443.0,171,7,171,25,19,89,6,8,1,5,8,0,46,No,12.476386036960985,1,web
Technical School,Single,52195.0,12,0,4,0,0,1,1,1,0,2,8,0,45,No,12.36413415468857,3,store
Master,Married,83790.0,1076,16,417,42,48,16,1,8,10,6,3,0,75,Yes,12.851471594798083,0,catalog
Master,Widow,44551.0,182,4,33,0,0,66,2,4,1,5,7,0,69,No,13.059548254620124,1,store
College Graduate,Together,69508.0,824,32,162,42,32,43,2,11,4,11,6,0,43,No,13.853524982888432,1,web
Technical School,Together,45204.0,30,11,25,29,1,18,1,1,1,4,3,0,35,No,12.449007529089664,1,store
College Graduate,Married,72460.0,377,10,540,80,30,10,1,3,5,7,1,0,54,No,12.854209445585216,0,store
PhD,Together,77622.0,520,7,154,19,0,14,2,6,3,11,3,0,53,No,12.44079397672827,2,store
PhD,Married,30732.0,155,1,25,0,1,3,4,4,1,4,8,0,43,No,13.711156741957563,1,web
College Graduate,Divorced,63887.0,897,23,207,15,11,92,5,9,6,12,6,0,61,No,14.036960985626283,1,store
College Graduate,Together,42011.0,131,0,16,2,1,39,4,3,1,4,8,0,45,No,13.492128678986996,1,store
College Graduate,Together,51369.0,297,7,79,0,11,182,2,8,2,4,8,0,47,No,13.908281998631075,1,web
College Graduate,Divorced,51537.0,787,20,204,0,0,92,3,2,2,11,8,0,71,No,13.78507871321013,1,store
PhD,Married,79930.0,792,86,740,67,51,17,1,3,5,8,2,0,51,No,14.121834360027378,0,store
PhD,Together,34320.0,4,1,9,3,0,0,1,1,0,2,8,0,37,No,12.596851471594798,1,store
College Graduate,Single,37070.0,231,7,137,4,15,39,9,5,1,8,7,0,57,Yes,13.508555783709788,2,store
Technical School,Divorced,81975.0,983,76,184,180,138,27,1,6,3,4,7,0,61,Yes,13.711156741957563,1,web
College Graduate,Together,38590.0,3,1,8,4,3,3,1,1,0,2,8,0,52,No,13.35523613963039,1,store
College Graduate,Single,15033.0,0,4,5,6,0,4,1,1,0,3,3,0,72,No,12.435318275154003,0,store
PhD,Married,62745.0,562,21,464,28,10,32,3,7,8,11,5,0,58,No,13.500342231348391,1,store
Technical School,Married,22212.0,5,9,20,6,8,21,2,2,0,4,6,0,48,No,12.785763175906913,1,store
Master,Together,23661.0,18,0,4,0,0,1,1,1,0,3,7,0,41,No,12.799452429842573,1,store
PhD,Single,79761.0,415,5,124,15,35,11,1,5,2,11,3,0,65,No,12.966461327857632,1,store
College Graduate,Single,7500.0,5,3,10,12,7,20,4,3,1,3,7,0,50,No,12.739219712525667,1,web
College Graduate,Widow,73455.0,901,61,757,186,163,20,1,6,5,10,3,0,55,Yes,12.900752908966462,0,store
College Graduate,Together,64961.0,382,114,276,75,124,38,2,6,4,4,3,0,65,No,13.74674880219028,1,web
College Graduate,Single,22804.0,14,1,7,2,1,1,1,2,0,2,9,0,52,No,13.144421629021219,1,web
College Graduate,Married,73687.0,559,153,503,218,13,181,1,3,9,9,2,0,33,Yes,12.815879534565367,0,catalog
College Graduate,Married,61074.0,789,0,133,0,28,152,7,11,5,8,7,0,65,No,14.097193702943189,1,web
PhD,Married,31686.0,11,0,5,0,0,1,2,1,0,3,6,0,59,No,12.2984257357974,2,store
College Graduate,Married,80134.0,1218,16,272,104,0,80,2,5,3,6,6,0,51,Yes,13.34154688569473,1,store
College Graduate,Married,75027.0,925,64,179,133,12,77,2,9,4,6,5,0,70,No,13.700205338809035,1,web
PhD,Married,67546.0,864,134,768,150,38,172,1,4,10,5,3,0,35,No,14.05886379192334,0,catalog
Master,Together,65176.0,960,28,183,220,70,70,4,9,6,6,6,0,54,No,13.897330595482547,1,web
Master,Single,31160.0,16,3,25,6,1,13,2,2,0,3,8,0,48,No,13.015742642026009,1,store
College Graduate,Single,29938.0,3,3,7,0,2,11,2,1,0,3,6,0,38,No,12.903490759753593,1,store
College Graduate,Divorced,102692.0,168,148,444,32,172,148,1,6,9,13,2,0,49,Yes,13.464750171115675,0,store
Technical School,Together,26490.0,45,47,52,21,20,25,2,3,1,5,6,0,65,No,13.998631074606434,0,store
College Graduate,Together,75702.0,650,28,353,45,42,30,5,4,6,11,8,0,56,No,14.064339493497604,2,store
PhD,Single,30899.0,24,0,8,0,0,1,2,1,0,3,6,0,49,No,13.94113620807666,1,store
PhD,Together,63342.0,918,21,118,13,10,21,3,8,3,5,6,0,62,Yes,13.932922655715263,1,web
College Graduate,Single,45989.0,138,33,87,28,24,12,4,3,2,7,3,0,59,No,13.91649555099247,1,store
College Graduate,Single,18701.0,12,4,2,10,6,10,4,2,0,4,5,0,59,No,13.300479123887747,2,store
PhD,Single,40737.0,11,0,4,0,0,2,1,1,0,2,8,0,66,No,12.788501026694044,3,store
College Graduate,Divorced,15287.0,1,2,8,4,3,13,2,1,1,2,7,0,44,Yes,13.949349760438055,1,store
PhD,Divorced,69674.0,554,41,215,11,0,24,3,10,2,10,5,0,55,No,13.336071184120465,2,web
Master,Married,44159.0,167,2,62,24,13,7,4,4,1,6,5,0,53,No,12.265571526351813,1,store
PhD,Married,37717.0,9,0,6,4,1,5,1,1,0,2,9,0,45,No,13.828884325804244,1,store
Master,Together,43776.0,177,2,71,3,2,20,6,5,2,4,8,0,71,Yes,13.631759069130732,2,web
Master,Married,38179.0,38,4,22,4,2,20,4,3,1,3,7,0,57,No,13.52498288843258,2,web
College Graduate,Married,80124.0,483,84,398,205,84,241,1,3,7,8,1,0,60,Yes,12.240930869267626,0,store
